Classifier	Features Combination	Test Sets Error	Train Sets Error	AUC	F1 Score	Counter
1	[1, 3]	0.2528358208955224	0.24677500000000002	0.7211785714285714	0.715570618008615	ESCC 139, EAC 128
5	[2]	0.35298507462686574	0.25885	0.7189598214285715	0.6183588335222716	ESCC 139, EAC 128
2	[1, 2]	0.3198507462686567	0.319475	0.7170625000000002	0.6427429118049451	ESCC 139, EAC 128
2	[1]	0.34888059701492535	0.3568	0.7126026785714284	0.6097722869058836	ESCC 139, EAC 128
1	[3]	0.2488059701492537	0.255325	0.7112566964285714	0.7200222137808765	ESCC 139, EAC 128
1	[1, 2]	0.322910447761194	0.308275	0.7080625	0.6270040083718159	ESCC 139, EAC 128
6	[1]	0.3223134328358209	0.2694	0.7050334821428572	0.5968546885759131	ESCC 139, EAC 128
5	[1]	0.3421641791044776	0.261525	0.7013616071428572	0.6052311898478716	ESCC 139, EAC 128
2	[3]	0.2748507462686567	0.27485	0.7004821428571428	0.6974876966617267	ESCC 139, EAC 128
3	[3, 2]	0.2667910447761194	0.26942499999999997	0.7003303571428572	0.7012234386356075	ESCC 139, EAC 128
3	[1]	0.3315671641791045	0.3238	0.7001428571428571	0.6128864603048509	ESCC 139, EAC 128
1	[1]	0.34141791044776126	0.33527500000000005	0.6995736607142856	0.606334999945675	ESCC 139, EAC 128
0	[1]	0.3081343283582089	0.298275	0.6854955357142859	0.5815934728645705	ESCC 139, EAC 128
4	[1]	0.3487313432835821	0.19442500000000001	0.6841919642857143	0.6110048443536218	ESCC 139, EAC 128
4	[2]	0.3663432835820896	0.20897500000000002	0.6615379464285716	0.6112191327781141	ESCC 139, EAC 128
3	[2]	0.3214925373134328	0.319925	0.6493883928571429	0.6441990214208286	ESCC 139, EAC 128
2	[2]	0.3502985074626866	0.34619999999999995	0.6382187500000001	0.637080333375114	ESCC 139, EAC 128
1	[2]	0.36992537313432833	0.36460000000000004	0.6337276785714285	0.6232081092487272	ESCC 139, EAC 128
